r y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 9.999999999999997780e-01 0.000000000000000000e+00 9.999999999999993339e-01 0.000000000000000000e+00 1.000000000000000444e+00 0.000000000000000000e+00 1.000000000000000444e+00 0.000000000000000000e+00 1.000000000000000222e+00 0.000000000000000000e+00 9.999999999999984457e-01 0.000000000000000000e+00
7.070707070707070441e-02 9.975033768366116105e-01 7.053054179652809563e-02 9.925163688307965248e-01 9.949591109086737550e-02 9.875418270729298120e-01 1.215522406954771123e-01 9.825797307880513864e-01 1.400049955792864731e-01 9.776300592271676138e-01 1.561380746895199845e-01 9.726927916672238883e-01 1.706116990731039729e-01 9.677679074110815405e-01 1.838191060141761979e-01 9.628553857874886379e-01 1.960171855688304932e-01 9.579552061510548944e-01 2.073848436916056193e-01 9.530673478822292433e-01 2.180526840244034481e-01
1.414141414141414088e-01 9.900508439015390794e-01 1.400071900466823005e-01 9.702518473292810475e-01 1.960202683440982196e-01 9.506508205217490959e-01 2.376662334396328347e-01 9.312464438151716317e-01 2.716707039290320869e-01 9.120374041434217149e-01 3.006690320096281344e-01 8.930223950116320530e-01 3.260280602969026775e-01 8.742001164698908200e-01 3.485689091770334813e-01 8.555692750870318442e-01 3.688326398021853358e-01 8.371285839245111715e-01 3.871993542857211090e-01 8.188767625103698933e-01 4.039489742603886713e-01
2.121212121212120993e-01 9.777534818038953190e-01 2.074022537159777857e-01 9.337590643489909192e-01 2.867122541198510177e-01 8.907544202895367746e-01 3.431887003611241993e-01 8.487247045394057388e-01 3.872263893465575646e-01 8.076552390026491279e-01 4.229628063561377549e-01 7.675315110707422450e-01 4.525772376480142190e-01 7.283391721310864542e-01 4.773991736039343015e-01 6.900640360867300593e-01 4.983181984461461655e-01 6.526920778871923012e-01 5.159688479810262685e-01 6.162094320703518369e-01 5.308255049004727555e-01
2.828282828282828176e-01 9.607933603497510466e-01 2.717395362605356524e-01 8.839377339326298655e-01 3.689273965102732866e-01 8.101560189077658958e-01 4.335191323749008618e-01 7.393662526682298619e-01 4.799954254749218552e-01 6.714881116919779735e-01 5.142539010844540126e-01 6.064428853191696778e-01 5.394698566510842674e-01 5.441534498790825403e-01 5.576215194761789951e-01 4.845442431626413859e-01 5.700591216839766551e-01 4.275412392365819381e-01 5.777638123371695578e-01 3.730719235953678936e-01 5.814817439008570510e-01
3.535353535353535359e-01 9.394190533760338191e-01 3.321178471531432974e-01 8.220036528673467791e-01 4.403332111537667792e-01 7.119259661441480480e-01 5.048444268999596751e-01 6.088802863266217225e-01 5.448384522979557998e-01 5.125704589002152423e-01 5.683586974023900895e-01 4.227096429308734304e-01 5.798479010724606475e-01 3.390200772544477159e-01 5.821359938396266642e-01 2.612328515514623084e-01 5.771908009098426495e-01 1.890876822198240825e-01 5.664637660100474426e-01 1.223326929593806095e-01 5.510712268674344827e-01
4.242424242424241987e-01 9.139395776989736042e-01 3.877319420541099904e-01 7.494472386457148305e-01 4.989905868494193819e-01 5.997576996174508457e-01 5.543266465782039631e-01 4.639828832328229957e-01 5.784815695262038870e-01 3.412746715151434018e-01 5.821586580225742713e-01 2.308234675006012593e-01 5.714134727760408206e-01 1.318567999938212998e-01 5.501691269500117443e-01 4.363797036138181845e-02 5.211814560725750445e-01 -3.453525972113832831e-02 4.864908149881491672e-01 -1.033319406285536368e-01 4.476629834886599046e-01
4.949494949494949170e-01 8.847169627080628818e-01 4.378902138656068366e-01 6.679834225119544167e-01 5.434174101561808357e-01 4.777970320970343354e-01 5.802333665996478596e-01 3.119899954348492321e-01 5.797064809335512603e-01 1.685272804563435756e-01 5.558084399579926727e-01 4.550011428160677385e-02 5.165752240955647778e-01 -5.888025596604008066e-02 4.672408002503071756e-01 -1.462885460560988948e-01 4.114645584026458969e-01 -2.182911702669956822e-01 3.519181377940574507e-01 -2.763517384552408029e-01 2.906051772684642986e-01
5.656565656565656353e-01 8.521577002119139488e-01 4.820285980996684705e-01 5.794950588626065491e-01 5.726318884623973204e-01 3.504539889484296067e-01 5.820039333228195222e-01 1.603819975938070297e-01 5.493907563360524993e-01 4.998753377549616447e-03 4.926545621264849517e-01 -1.196277295700301918e-01 4.221045965677511225e-01 -2.171036374181157524e-01 3.443765776210607199e-01 -2.907306904880841980e-01 2.639916196870052412e-01 -3.435263208395877288e-01 1.841210463232166028e-01 -3.782427470823493953e-01 1.070138937934135975e-01
6.363636363636363535e-01 8.167033564600839624e-01 5.197203177473261881e-01 4.859722451663309739e-01 5.861741146521932677e-01 2.222073506221395045e-01 5.602491891585107409e-01 1.636915596599852751e-02 4.903983980682667942e-01 -1.396666979648136797e-01 3.988778504569531758e-01 -2.531835328445447009e-01 2.983483384102844638e-01 -3.306927504655565175e-01 1.966777267881843760e-01 -3.779982371480146153e-01 9.892990288784503372e-02 -4.002563297097809780e-01 8.369149108269703305e-03 -4.020316037630501937e-01 -7.296349997509862795e-02
